nama,lokasi
aceh besar,kabupaten
aceh jaya,kabupaten
aceh selatan,kabupaten
aceh singkil,kabupaten
aceh tamiang,kabupaten
aceh tengah,kabupaten
aceh tenggara,kabupaten
aceh timur,kabupaten
aceh utara,kabupaten
banda aceh,kabupaten
bener meriah,kabupaten
bireuen,kabupaten
gayo lues,kabupaten
langsa,kabupaten
lhokseumawe,kabupaten
nagan raya,kabupaten
pidie jaya,kabupaten
pidie,kabupaten
sabang,kabupaten
simeulue,kabupaten
subulussalam,kabupaten
bima,kabupaten
dompu,kabupaten
lombok barat,kabupaten
lombok tengah,kabupaten
lombok timur,kabupaten
lombok utara,kabupaten
mataram,kabupaten
sumbawa barat,kabupaten
sumbawa,kabupaten
alor,kabupaten
belu,kabupaten
ende,kabupaten
flores timur,kabupaten
kupang,kabupaten
lembata,kabupaten
manggarai barat,kabupaten
manggarai timur,kabupaten
manggarai,kabupaten
nagekeo,kabupaten
ngada,kabupaten
rote ndao,kabupaten
sabu raijua,kabupaten
sikka,kabupaten
sumba barat daya,kabupaten
sumba barat,kabupaten
sumba tengah,kabupaten
sumba timur,kabupaten
timor tengah selatan,kabupaten
timor tengah utara,kabupaten
fakfak,kabupaten
kaimana,kabupaten
manokwari selatan,kabupaten
manokwari,kabupaten
maybrat,kabupaten
pegunungan arfak,kabupaten
raja ampat,kabupaten
sorong selatan,kabupaten
sorong,kabupaten
tambrauw,kabupaten
teluk bintuni,kabupaten
teluk wondama,kabupaten
asmat,kabupaten
biak numfor,kabupaten
boven digoel,kabupaten
deiyai (deliyai),kabupaten
dogiyai,kabupaten
intan jaya,kabupaten
jayapura,kabupaten
jayawijaya,kabupaten
keerom,kabupaten
kepulauan yapen (yapen waropen),kabupaten
lanny jaya,kabupaten
mamberamo raya,kabupaten
mamberamo tengah,kabupaten
mappi,kabupaten
merauke,kabupaten
mimika,kabupaten
nabire,kabupaten
nduga,kabupaten
paniai,kabupaten
pegunungan bintang,kabupaten
puncak jaya,kabupaten
puncak,kabupaten
sarmi,kabupaten
supiori,kabupaten
tolikara,kabupaten
waropen,kabupaten
yahukimo,kabupaten
yalimo,kabupaten
bengkalis,kabupaten
dumai,kabupaten
indragiri hilir,kabupaten
indragiri hulu,kabupaten
kampar,kabupaten
kepulauan meranti,kabupaten
kuantan singingi,kabupaten
pekanbaru,kabupaten
pelalawan,kabupaten
rokan hilir,kabupaten
rokan hulu,kabupaten
siak,kabupaten
majene,kabupaten
mamasa,kabupaten
mamuju utara,kabupaten
mamuju,kabupaten
polewali mandar,kabupaten
bantaeng,kabupaten
barru,kabupaten
bone,kabupaten
bulukumba,kabupaten
enrekang,kabupaten
gowa,kabupaten
jeneponto,kabupaten
luwu timur,kabupaten
luwu utara,kabupaten
luwu,kabupaten
makassar,kabupaten
maros,kabupaten
palopo,kabupaten
pangkajene kepulauan,kabupaten
parepare,kabupaten
pinrang,kabupaten
selayar (kepulauan selayar),kabupaten
sidenreng rappang,kabupaten
sinjai,kabupaten
soppeng,kabupaten
takalar,kabupaten
tana toraja,kabupaten
toraja utara,kabupaten
